,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
AP B-1 5351,Edgefield,Augustprince,B-1,5351,1,10,-,-,-,-,-,-,-,-,-
AP B-1 5352,Edgefield,Augustprince,B-1,5352,1,9,-,-,-,-,-,-,-,-,-
AP B-1 5353,Edgefield,Augustprince,B-1,5353,1,8,-,-,-,-,-,-,-,-,-
AP B-1 5354,Edgefield,Augustprince,B-1,5354,1,7,-,-,-,-,-,-,-,-,-
AP B-1 5355,Edgefield,Augustprince,B-1,5355,1,5,-,-,-,-,-,-,-,-,-
AP B-1 5357,Edgefield,Augustprince,B-1,5357,1,4,-,-,-,-,-,-,-,-,-
AP B-1 5358,Edgefield,Augustprince,B-1,5358,1,3,-,-,-,-,-,-,-,-,-
AP B-1 5359,Edgefield,Augustprince,B-1,5359,1,2,-,-,-,-,-,-,-,-,-
AP B-1 5364,Edgefield,Augustprince,B-1,5364,2,4,-,-,-,-,-,-,-,-,-
AP B-1 5365,Edgefield,Augustprince,B-1,5365,2,5,-,-,-,-,-,-,-,-,-
AP B-1 5366,Edgefield,Augustprince,B-1,5366,2,6,-,-,-,-,-,-,-,-,-
AP B-1 5367,Edgefield,Augustprince,B-1,5367,2,7,-,-,-,-,-,-,-,-,-
AP B-1 5368,Edgefield,Augustprince,B-1,5368,2,8,-,-,-,-,-,-,-,-,-
AP B-1 5369,Edgefield,Augustprince,B-1,5369,2,9,-,-,-,-,-,-,-,-,-
AP B-1 5370,Edgefield,Augustprince,B-1,5370,2,10,-,-,-,-,-,-,-,-,-
AP B-1 5371,Edgefield,Augustprince,B-1,5371,3,10,-,-,-,-,-,-,-,-,-
AP B-1 5372,Edgefield,Augustprince,B-1,5372,3,9,-,-,-,-,-,-,-,-,-
AP B-1 5373,Edgefield,Augustprince,B-1,5373,3,8,-,-,-,-,-,-,-,-,-
AP B-1 5374,Edgefield,Augustprince,B-1,5374,3,7,-,-,-,-,-,-,-,-,-
AP B-1 5375,Edgefield,Augustprince,B-1,5375,3,6,-,-,-,-,-,-,-,-,-
AP B-1 5376,Edgefield,Augustprince,B-1,5376,3,5,-,-,-,-,-,-,-,-,-
AP B-1 5377,Edgefield,Augustprince,B-1,5377,3,4,-,-,-,-,-,-,-,-,-
AP B-1 5378,Edgefield,Augustprince,B-1,5378,3,3,-,-,-,-,-,-,-,-,-
AP B-1 5379,Edgefield,Augustprince,B-1,5379,3,2,-,-,-,-,-,-,-,-,-
AP B-1 5380,Edgefield,Augustprince,B-1,5380,3,1,-,-,-,-,-,-,-,-,-
AP B-1 5381,Edgefield,Augustprince,B-1,5381,4,1,-,-,-,-,-,-,-,-,-
AP B-1 5382,Edgefield,Augustprince,B-1,5382,4,2,-,-,-,-,-,-,-,-,-
AP B-1 5383,Edgefield,Augustprince,B-1,5383,4,3,-,-,-,-,-,-,-,-,-
AP B-1 5384,Edgefield,Augustprince,B-1,5384,4,4,-,-,-,-,-,-,-,-,-
AP B-1 5385,Edgefield,Augustprince,B-1,5385,4,5,-,-,-,-,-,-,-,-,-
AP B-1 5386,Edgefield,Augustprince,B-1,5386,4,6,-,-,-,-,-,-,-,-,-
AP B-1 5387,Edgefield,Augustprince,B-1,5387,4,7,-,-,-,-,-,-,-,-,-
AP B-1 5388,Edgefield,Augustprince,B-1,5388,4,8,-,-,-,-,-,-,-,-,-
AP B-1 5389,Edgefield,Augustprince,B-1,5389,4,9,-,-,-,-,-,-,-,-,-
AP B-1 5390,Edgefield,Augustprince,B-1,5390,4,10,-,-,-,-,-,-,-,-,-
AP B-1 5391,Edgefield,Augustprince,B-1,5391,5,10,-,-,-,-,-,-,-,-,-
AP B-1 5392,Edgefield,Augustprince,B-1,5392,5,9,-,-,-,-,-,-,-,-,-
AP B-1 5393,Edgefield,Augustprince,B-1,5393,5,8,-,-,-,-,-,-,-,-,-
AP B-1 5394,Edgefield,Augustprince,B-1,5394,5,7,-,-,-,-,-,-,-,-,-
AP B-1 5395,Edgefield,Augustprince,B-1,5395,5,6,-,-,-,-,-,-,-,-,-
AP B-1 5396,Edgefield,Augustprince,B-1,5396,5,5,-,-,-,-,-,-,-,-,-
AP B-1 5397,Edgefield,Augustprince,B-1,5397,5,4,-,-,-,-,-,-,-,-,-
AP B-1 5398,Edgefield,Augustprince,B-1,5398,5,3,-,-,-,-,-,-,-,-,-
AP B-1 5399,Edgefield,Augustprince,B-1,5399,5,2,-,-,-,-,-,-,-,-,-
AP B-1 5400,Edgefield,Augustprince,B-1,5400,5,1,-,-,-,-,-,-,-,-,-
AP B-1 5401,Edgefield,Augustprince,B-1,5401,6,1,-,-,-,-,-,-,-,-,-
AP B-1 5402,Edgefield,Augustprince,B-1,5402,6,2,-,-,-,-,-,-,-,-,-
AP B-1 5403,Edgefield,Augustprince,B-1,5403,6,3,-,-,-,-,-,-,-,-,-
AP B-1 5404,Edgefield,Augustprince,B-1,5404,6,4,-,-,-,-,-,-,-,-,-
AP B-1 5405,Edgefield,Augustprince,B-1,5405,6,5,+,-,-,-,-,-,-,-,-
AP B-1 5406,Edgefield,Augustprince,B-1,5406,6,6,-,-,-,-,-,-,-,-,-
AP B-1 5407,Edgefield,Augustprince,B-1,5407,6,7,-,-,-,-,-,-,-,-,-
AP B-1 5408,Edgefield,Augustprince,B-1,5408,6,8,-,-,-,-,-,-,-,-,-
